"Publish Date","Creation Date","Title","Status","Label Color","Label Name","Project Types","Project Owner","Description","Tags","Marketing Campaign","Link"
"30/11/2026","07/08/2025","Atlas Navigator","Placeholder","FFAA00","MMC","Newsletter","Tactical Squad","","MMC, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7311516"
"16/10/2026","05/11/2025","MICC Project Launch","Not Started","FF0000","ONLY PUBLISH THIS","Blog post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7596523"
"08/06/2026","04/11/2025","MICC Pilot Delivery (Exact Date TBD)","Not Started","FF0000","ONLY PUBLISH THIS","Blog post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7592542"
"07/04/2026","18/09/2025","Understanding PTSD module launch","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7411151"
"01/04/2026","04/11/2025","(TENTATIVE 2) Launch: Canadian Legacy Project (women's research) report","Not Started","FF0000","ONLY PUBLISH THIS","Promotion plan","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7593131"
"31/03/2026","13/11/2025","In her words - Daphne post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632281"
"17/03/2026","25/02/2025","End-of-year survey reminder","Not Started","21FF00","PUBLISH ANYTHING","Promotion plan","Tactical Squad","","Operations","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/6818805"
"10/03/2026","13/11/2025","In her words - Telah Morrison post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632279"
"09/03/2026","18/09/2025","MESHA Military Culture Training (tentative)","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7411154"
"03/03/2026","25/02/2025","End-of-year survey","Not Started","FF0000","ONLY PUBLISH THIS","Promotion plan","Tactical Squad","","Operations","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/6818799"
